,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
1602,Gallatin,Montana,30,031,Gallatin County,POINT (-110.913284 45.939148),114833
1603,Gallatin,Montana,30,031,Gallatin County,POINT (-110.886963 45.942596),114834
1604,Gallatin,Montana,30,031,Gallatin County,POINT (-110.891907 45.960907),114913
1605,Darlington,South Carolina,45,031,Darlington County,POINT (-80.08120700000001 34.115284),19911
1606,Darlington,South Carolina,45,031,Darlington County,POINT (-79.911804 34.25473),21239
1607,Darlington,South Carolina,45,031,Darlington County,POINT (-79.929047 34.276287),21348
1608,Escambia,Alabama,01,053,Escambia County,POINT (-87.330139 31.011566),8882
1609,Haralson,Georgia,13,143,Haralson County,POINT (-85.045227 33.885891),14770
1610,Allen,Kansas,20,001,Allen County,POINT (-95.121887 37.942028),37559
1611,Douglas,Illinois,17,041,Douglas County,POINT (-88.320679 39.865734),48986
1612,Greene,Virginia,51,079,Greene County,POINT (-78.483856 38.333954),46914
1613,Waushara,Wisconsin,55,137,Waushara County,POINT (-88.890869 44.161087),98523
1614,Waushara,Wisconsin,55,137,Waushara County,POINT (-88.88855 44.179634),98770
1615,Waushara,Wisconsin,55,137,Waushara County,POINT (-89.304749 44.186737),98522
1616,Izard,Arkansas,05,065,Izard County,POINT (-91.722351 36.250164),25481
1617,Monterey,,06,053,Monterey County,POINT (-121.915634 36.379993),46312
1618,Monterey,,06,053,Monterey County,POINT (-121.930176 36.414883),46494
1619,Monterey,,06,053,Monterey County,POINT (-121.901733 36.636059),47914
1620,Grant,New Mexico,35,017,Grant County,POINT (-108.418777 31.866028),10777
1621,Grant,New Mexico,35,017,Grant County,POINT (-108.485352 31.875515),10809
1622,Grant,New Mexico,35,017,Grant County,POINT (-108.464264 31.878323),10810
1623,Miller,Missouri,29,131,Miller County,POINT (-92.520691 38.385445),40067
1624,Wilkes,North Carolina,37,193,Wilkes County,POINT (-81.45874000000001 36.217739),32428
1625,Platte,Missouri,29,165,Platte County,POINT (-94.674103 39.194698),43700
1626,Platte,Missouri,29,165,Platte County,POINT (-94.69760100000001 39.213516),43784
1627,Platte,Missouri,29,165,Platte County,POINT (-94.697205 39.232025),43879
1628,Buchanan,Missouri,29,021,Buchanan County,POINT (-94.69058200000001 39.546841),45460
1629,Buchanan,Missouri,29,021,Buchanan County,POINT (-94.690186 39.565361),45572
